gx_mean,gy_mean,gz_mean,ax_mean,ay_mean,az_mean,gx_std,gy_std,gz_std,ax_std,ay_std,az_std,gx_rmse,gy_rmse,gz_rmse,ax_rmse,ay_rmse,az_rmse,gx_max,gy_max,gz_max,ax_max,ay_max,az_max,gx_min,gy_min,gz_min,ax_min,ay_min,az_min,gx_fengdu,gy_fengdu,gz_fengdu,ax_fengdu,ay_fengdu,az_fengdu,gx_piandu,gy_piandu,gz_piandu,ax_piandu,ay_piandu,az_piandu,gx_gy_coor,gx_gz_corr,gy_gz_corr,ax_ay_corr,ax_az_corr,ay_az_corr,label
3.912540206,0.425583535,3.437848324,0.327942863,0.157979472,1.190456915,0.037958225,0.055071905,1.07266201,0.006656008,0.024782471,0.001740387,3.912710168,0.428860069,3.588996643,0.328005207,0.159763703,1.190458089,3.937123316,0.478077558,3.990206386,0.335425177,0.185168763,1.191861377,3.878355887,0.389007161,2.564102661,0.321850362,0.136185514,1.188514853,5.067264074,4.268578763,6.325623258,1.598094375,1.941061882,1.879859562,-1.746530417,1.547484125,-2.099101651,0.479925117,0.648848728,-0.741547656,-0.995851682,0.988446162,-0.979165037,0.989736613,0.774467064,0.769374622,0
3.952037086,0.382871783,3.994145509,0.322280819,0.116919928,1.183560503,0.005067876,0.00212527,0.002708182,0.005843029,0.003323275,0.005341141,3.952040205,0.382877446,3.994146391,0.322331664,0.11696526,1.183572072,3.959712073,0.384574365,3.998396607,0.328293166,0.121560589,1.189322688,3.94609659,0.379041047,3.990660133,0.312878646,0.113747443,1.176876731,1.924002079,4.146664902,2.096381736,3.714426956,5.453549206,1.24528076,0.414653304,-1.518083051,0.365870623,-1.112121689,1.470949522,-0.206590623,-0.782428867,0.978702253,-0.801108973,0.029606132,0.830761838,-0.048542314,0
3.971165447,0.382076985,3.998667664,0.308607545,0.134356323,1.176143546,0.010279851,0.004631322,0.001609034,0.00671667,0.013395617,0.020796219,3.97117822,0.382103931,3.998667975,0.308677705,0.134995875,1.176320035,3.989678132,0.387255398,4,0.316848541,0.147567018,1.201122689,3.963364048,0.376174525,3.996461416,0.299720358,0.114007556,1.150224388,3.674378858,1.336038897,10.42602997,1.812237247,1.651744137,1.349338962,1.428734885,-0.207939381,-2.619853183,-0.18423451,-0.454771554,-0.068333864,0.551289144,-0.811909673,-0.156730381,0.291605669,-0.115323479,-0.786086422,0
3.961784439,0.436366699,3.969431271,0.319105293,0.219461253,1.310565616,0.050679328,0.060589742,0.023771005,0.065977175,0.093950989,0.113697065,3.962095607,0.440386385,3.9694996,0.325587248,0.237985206,1.315291669,4,0.511831908,3.986389665,0.394290288,0.376112923,1.506705501,3.873429556,0.371435675,3.92850788,0.216671047,0.145500339,1.198588358,3.147689074,1.257567705,5.639267312,1.879405625,2.287164926,2.780950966,-1.21662126,0.128585897,-1.907663453,-0.403960087,0.898430169,1.00865685,-0.683467307,0.865012524,-0.245129062,-0.812686642,-0.741617916,0.975301633,1
2.504943733,0.657721968,3.309335341,0.161905636,2.580076315,2.881269488,1.192599645,0.38596112,0.511425214,0.082551082,1.398368864,0.906871629,2.764081269,0.758686717,3.347057502,0.180984886,2.921303108,3.01516722,3.745594686,1.301512697,3.836142664,0.244428702,4,4,0.600420033,0.333326284,2.455869009,0.041856021,0.58534015,1.729474132,2.072112964,2.831858523,2.693231933,2.218129617,1.465200209,1.418372011,-0.646334283,1.025972765,-0.903851502,-0.218335028,-0.362513673,0.034625101,-0.976253876,0.991254027,-0.977968083,-0.61318331,-0.588410992,0.965821567,0
-0.390228183,2.347386107,0.933838493,0.406270815,1.073462269,1.529572753,0.111340331,0.185656484,0.453632289,0.221397555,1.330966485,0.871331359,0.405189878,2.354423736,1.034217238,0.460556378,1.6890631,1.751697009,-0.22201765,2.492456114,1.703987905,0.664502306,3.168198658,3.068038109,-0.479436016,2.051203411,0.578611132,0.145573208,-0.107152764,0.900804037,7.496984138,6.234930342,2.71076425,1.275443721,1.828399379,3.387108561,2.175545763,-1.936175539,1.04222643,-0.054225818,0.650842455,1.312346138,-0.988950289,0.677627122,-0.725037134,0.812164913,0.623038,0.954590243,0
-0.412099501,2.104625988,0.668973243,0.319084811,0.184317011,1.268621867,0.03473989,0.106134504,0.083910342,0.055687907,0.176132991,0.078341726,0.413502822,2.107193513,0.674006311,0.323716255,0.252496887,1.270941923,-0.385722145,2.248642462,0.7553813,0.360303908,0.392915617,1.338079587,-0.471234861,1.950019808,0.537902395,0.219122787,-0.079123955,1.146873194,4.120310797,3.288673991,2.085150461,3.800067142,1.748875182,5.682119552,-1.435448708,-0.446083604,-0.603843122,-1.454107352,-0.365139097,-1.75968836,0.901237569,0.781800205,0.455696674,0.794184834,0.839172329,0.46453477,1
-0.531819422,2.03754566,0.642228966,0.349168673,-0.068190184,1.25324012,0.098772628,0.523761879,0.193509612,0.095156029,0.220298473,0.112836407,0.540553132,2.101177233,0.669631373,0.361401778,0.226362678,1.258107139,-0.360222126,2.883475459,0.884091894,0.464763718,0.294384586,1.372098953,-0.613595971,1.566504321,0.444146513,0.215086424,-0.268936993,1.09655859,4.593126169,2.017274997,1.214715328,3.42781456,2.288086335,1.433072724,1.643362605,0.736204718,0.198839825,-0.793916707,0.825022765,-0.335387581,0.709570446,0.337703038,0.899083124,-0.619533514,-0.618761473,0.67402356,1
-0.367759555,2.879684813,0.463819802,0.752333547,0.391451222,0.882941007,0.093547033,0.437303687,0.226793971,0.448464437,0.103150426,0.263585681,0.379009361,2.911386225,0.514302337,0.871252721,0.404287607,0.919936485,-0.269207122,3.221648916,0.710006683,1.276100176,0.489821959,1.312256871,-0.4915069,2.121207269,0.156711643,0.149122211,0.21572985,0.643003367,1.346433317,2.632273702,1.390005483,1.440999086,3.424409085,1.911484336,-0.221940439,-1.060790362,-0.235704258,-0.133795322,-1.178253333,0.728670438,-0.548158718,-0.26657476,0.893959265,0.69698843,-0.819049669,-0.245192035,1
-0.430449321,2.317889383,0.569236932,-0.079450467,0.045660654,1.384447596,0.140599162,0.345452475,0.208183301,0.332180509,0.351241005,0.252521031,0.451955769,2.342472008,0.604679551,0.335026136,0.347160379,1.40638236,-0.271357589,2.844454921,0.711143516,0.234186996,0.517485593,1.696696249,-0.618391485,1.899249274,0.200416966,-0.528860764,-0.365468406,1.05228454,2.237521237,2.033606171,2.54566018,1.32818696,1.471884143,1.57993951,-0.426376226,0.33527777,-1.10621785,-0.329330614,0.190367863,-0.062263748,-0.242294585,-0.121347528,0.788497286,-0.864568464,-0.906450287,0.59001879,1
